# Brief candidates for rhe, ranked by savings-weighted value.
#
# value = frequency × (phonemes - 1). Single-phoneme words are
# omitted because a brief chord saves nothing over typing the
# one phoneme directly.
#
# One word per line. Delete any line to exclude that word from
# brief assignment. Lines starting with '#' are ignored. Delete
# the whole file to regenerate from defaults.
#
# Adding a word not in this list is fine — give it its own line
# with any annotations you like, as long as the word is the
# last whitespace-separated token.
#
# Fields: rank  value  phonemes  word
#
    1        28787591    2  you
    2        22761659    2  the
    3        21145876    3  and
    4        20407484    3  that
#    5        17099834    2  to
    6        13800328    3  what
    7        13631703    2  it
    8        11479576    3  this
#    9        10348120    3  for
   10        10003176    4  just
   11         9528020    3  have
   12         9221890    3  your
   13         8915110    2  of
   14         8524546    3  not
   15         7652236    3  can
   16         7613954    3  with
   17         7462044    4  about
   18         7400675    2  is
   19         7337058    2  in
   20         7262924    3  but
   21         6755687    2  we
   22         6444985    2  me
   23         6297056    3  there
   24         6277182    3  here
   25         5966054    3  like
   26         5852535    4  want
   27         5766386    3  get
   28         5518419    4  think
   29         5516364    2  he
   30         5193190    6  something
   31         5153642    3  right
   32         5128746    4  from
   33         4938948    2  my
   34         4862118    3  him
   35         4821861    2  on
# 36         4527912    3  one   # typed via number-mode finger-first-mod gesture
   37         4419883    2  do
   38         4407838    3  come
   39         4374975    2  no
   40         4319818    3  well
   41         4210868    2  be
   42         4203821    2  are
   43         3939614    3  will
   44         3892394    2  know
   45         3564570    4  gonna
   46         3544700    2  all
   47         3543660    5  people
   48         3520448    5  because
   49         3483460    3  good
   50         3478088    5  little
   51         3434152    2  so
   52         3410524    3  let
   53         3332722    3  his
   54         3268100    3  yes
   55         3201030    6  anything
   56         3118770    7  everything
   57         3063462    3  when
   58         3060204    2  they
   59         2921680    9  understand
   60         2907416    3  time
   61         2857768    3  okay
   62         2836959    4  very
   63         2810048    3  back
   64         2792493    4  never
   65         2778359    2  she
   66         2738504    2  go
   67         2696934    3  look
   68         2680140    3  would
   69         2662089    4  only
   70         2655018    3  them
   71         2644452    3  where
   72         2630800    2  if
   73         2624464    3  take
   74         2551004    3  then
   75         2526360    4  please
   76         2510010    2  out
   77         2489660    5  nothing
   78         2459855    2  up
   79         2454057    4  sorry
   80         2431398    2  at
   81         2352580    3  tell
   82         2347176    3  man
   83         2333828    3  some
   84         2320731    4  thank
   85         2314424    5  before
   86         2298830    2  now
   87         2233632    4  even
   88         2223674    3  could
   89         2154982    2  her
   90         2149746    7  remember
   91         2140365    2  how
   92         2080262    3  need
   93         2020780    3  more
   94         2013668    5  always
   95         2005810    6  someone
   96         2000641    2  yeah
   97         1998858    4  help
   98         1969161    4  first
   99         1967241    4  into
  100         1957932    3  down
  101         1927770    3  make
  102         1918620    4  still
  103         1879560    4  find
  104         1792220    2  as
  105         1781493    2  see
  106         1770057    4  again
  107         1761682    3  over
  108         1743261    4  maybe
  109         1742793    4  must
  110         1734491    2  who
  111         1722797    2  why
  112         1722048    4  stop
  113         1718283    4  after
  114         1677570    7  actually
  115         1660648    3  love
  116         1647422    3  should
  117         1642550    3  mean
  118         1637304    4  great
  119         1623838    3  give
  120         1615496    5  believe
  121         1582185    4  last
  122         1535936    3  any
  123         1517750    6  morning
  124         1512020    6  together
  125         1510065    6  yourself
  126         1477198    3  much
  127         1476192    7  everyone
  128         1472715    6  family
  129         1463164    5  listen
  130         1461684    5  another
  131         1449181    2  an
  132         1439185    6  already
  133         1419152    8  probably
  134         1418780    3  sure
  135         1414929    4  money
  136         1414389    4  around
  137         1405677    8  beautiful
  138         1393950    7  problem
  139         1366256    3  these
  140         1346903    2  us
  141         1342292    5  next
  142         1334589    4  place
  143         1326591    8  exactly
  144         1319724    8  everybody
  145         1319130    7  excuse
  146         1315088    9  important
  147         1312611    4  father
  148         1298692    5  woman
  149         1267646    2  or
  150         1249192    3  life
  151         1243645    6  tomorrow
  152         1232816    5  friend
  154         1223354    3  work
  155         1216602    4  hello
  156         1202342    3  their
  157         1202300    6  myself
  158         1191941    2  our
  159         1176726    4  kind
  160         1165560    4  every
  161         1162036    5  without
  162         1154394    3  other
  163         1153915    2  say
  164         1149504    3  wait
  165         1149292    2  hey
  166         1145994    3  call
  167         1145448    4  course
  168         1141660    6  anyone
  169         1134072    3  talk
  170         1130919    4  enough
  171         1128536    3  away
  172         1122028    3  than
  173         1118538    4  mother
  174         1113788    3  home
  175         1112636    3  night
  176         1111860    4  world
  177         1099185    4  today
  178         1090424    2  by
  179         1056808    3  those
  180         1047942    7  different
  181         1039508    5  brother
  182         1038000    5  pretty
  183         1036025    6  music
  184         1033852    5  haven
  185         1029576    7  somebody
  186         1025668    5  start
  188         1012146    4  found
  189         1000182    2  way
  190          996784    3  keep
  191          992534    3  long
  192          986056    5  tonight
  193          968435    6  second
  194          956564    3  leave
  195          956364    7  husband
  196          944550    4  many
  197          938781    4  mind
  198          911086    3  name
  199          900684    5  until
  200          900410    6  whatever
  201          888176    3  ever
  202          888028    3  feel
  203          885520    5  police
  204          871488    4  baby
  205          863822    3  old
  206          849018    4  most
  207          845820    7  question
  208          844966    3  which
  209          834436    3  big
  210          825165    6  against
  211          823320    3  lot
  212          810994    3  nice
  213          809112    4  once
  214          805114    3  girl
  215          801804    4  ready
  216          801060    3  fine
  217          799975    6  moment
  218          799351    2  off
  219          793696    5  doctor
  220          789291    4  idea
  221          787101    4  hold
  222          786423    4  happy
  223          785830    2  am
  224          785070    6  nobody
  225          779409    4  also
  226          777170    3  house
  227          776676    3  ok
  228          776254    3  through
  229          772674    7  sometimes
  230          770608    5  person
  231          764564    2  two
  232          763281    4  since
  233          762600    6  between
  234          757452    3  stay
  235          757080    3  dad
  236          755832    5  minute
  237          755068    5  crazy
  238          754512    5  forget
  239          744164    5  happen
  240          743436    4  matter
  241          742345    6  behind
  242          742029    4  bring
  243          742025    6  almost
  244          741898    3  wrong
  245          739992    3  bad
  246          734515    6  anymore
  247          734290    3  might
# 248          733252    3  three # typed via number-mode finger-first-mod gesture
  249          730320    5  drink
  250          729327    4  wanna
  251          728613    4  hard
  252          721425    4  alone
  253          721330    3  hear
  254          720528    4  school
  255          716175    6  trouble
  256          708646    3  ask
  257          701635    6  welcome
  258          696334    3  same
  259          696324    5  inside
  260          693280    9  gentlemen
  261          691053    4  gotta
  262          689007    4  open
  263          686532    8  hospital
  264          681512    3  else
  265          679018    3  kill
  266          678848    9  absolutely
  267          675492    7  anybody
  268          675096    5  afraid
  269          666808    5  anyway
  270          664548    5  party
  271          661912    3  care
  272          661236    7  parents
  273          661011   14  congratulations
  274          660522    3  car
  275          658488    7  himself
  276          657485    6  stupid
  277          656160    5  story
  278          655840    9  president
  279          653036    5  number
  280          651994    3  son
  281          651496    3  try
  282          648438    7  company
  283          641742    4  heart
  284          636480    7  possible
  285          635178    3  dead
  286          628655    6  country
  288          624370    6  captain
  289          621564    5  stand
  291          618741    4  hand
  292          617674    2  day
  293          616692    7  control
  294          616380    5  sister
  295          610278    3  mom
  297          599319    8  wonderful
  298          597822    3  job
  299          589072    3  real
  300          582216    9  completely
  301          580412    3  room
  302          579540    6  promise
  303          579042    4  water
  304          577596    5  reason
  305          576744    4  part
  306          574720    9  information
  307          572192    9  definitely
  308          572024    9  security
  309          571887    4  stuff
  310          568041    4  under
  311          567614    3  move
  312          565308    5  trust
  313          564840    3  seen
  314          562092    3  live
  315          561860    3  miss
  316          561145    6  perfect
  317          560886    4  change
  318          555984    5  couple
  319          551720    6  special
  320          546624    3  shit
  321          546200    6  perhaps
  322          543870    6  serious
  323          541440    3  both
  324          541364    5  front
  325          539702    3  heard
  326          533688    3  head
  327          522615    4  point
  328          522236    3  door
  329          522208    3  such
  330          520656    9  interesting
  331          520242    3  fuck
  332          517858    3  bit
  333          515894    3  yet
  334          514864    5  become
  335          514218    3  whole
  336          512975    6  human
  337          512158    3  use
  338          511940    3  while
  339          509004    5  outside
  340          508486    2  new
  341          508076    3  wife
  342          506394    4  body
  343          506208    7  explain
  344          504309    4  sleep
  345          503943    4  chance
  346          502938    7  yesterday
  347          500940    4  quite
  348          500640    3  guess
  349          500031    4  close
  350          499520    6  finally
